Queryila	Hitita	Kailavsita	Ksilavsita	KaKsilavsita	NJtree	Ath_annotation	Annotated_EST	Viridiplantae_annotation
ila23321	ita9843	0.0567	0.1345	0.421561338289963	(ita,ila)	AT2G24640.1	ita9843	693849	
ila14305	ita37284	0.0207	0.1340	0.154477611940298	(ila,ita)	AT3G22980.1	ila14305	18093	
ila36586	ita31067	0.0269	0.1061	0.253534401508011	(ila,ita)	none	ila36586	709960	
ila24400	ita16221	0.0455	0.1304	0.348926380368098	(ila,ita)	none	ila24400	558288	
ila35002	ita17407	0.0212	0.1621	0.130783466995682	(ita,ila)	AT5G16780.1	ita17407	564578	
ila10847	ita316	0.0293	0.1064	0.275375939849624	(ila,ita)	AT2G28880.1	ila10847	696545	
ila1871	ita5679	0.0223	0.1429	0.156053184044787	(ita,ila)	AT3G12740.1	ita5679	700593	
ila34692	ita17528	0.0301	0.0812	0.370689655172414	(ita,ila)	AT1G27070.1	ita17528	704014	
ila10476	ita8905	0.0622	0.1256	0.495222929936306	(ita,ila)	AT5G20990.1	ita8905	695626	
ila20449	ita21126	0.0129	0.1840	0.0701086956521739	(ila,ita)	AT3G48390.1	ila20449	764825	
ila30786	ita13512	0.0107	0.1216	0.0879934210526316	(ila,ita)	AT3G03900.1	ila30786	549573	
ila16931	ita20182	0.0236	0.0627	0.376395534290271	(ila,ita)	none	ila16931	697709	
ila214666	ita7510	0.0232	0.2092	0.110898661567878	(ita,ila)	none	ita7510	698713	
ila16868	ita19765	0.0087	0.0723	0.120331950207469	(ita,ila)	AT1G07320.4	ita19765	546990	
ila11463	ita14119	0.0087	0.0686	0.126822157434402	(ila,ita)	AT5G42310.1	ila11463	689678	
ila232752	ita27772	0.0324	0.2006	0.161515453639083	(ita,ila)	AT4G06634.2	ita27772	704385	
ila29915	ita13537	0.0790	0.2212	0.357142857142857	(ita,ila)	AT5G55550.2	ita13537	252281	
ila228932	ita32442	0.0569	0.2148	0.264897579143389	(ita,ila)	none	ita32442	576773	
ila28829	ita13193	0.0242	0.1383	0.174981923355025	(ita,ila)	none	ita13193	564305	
ila26719	ita2599	0.9651	68.5070	0.0140876114849577	(ita,ila)	none	ita25998	691868	
ila35579	ita13573	0.0236	0.1136	0.207746478873239	(ita,ila)	AT2G21370.2	ita13573	40238	
ila33204	ita39180	0.0537	0.1773	0.302876480541455	(ita,ila)	none	ita39180	503206	
ila212289	ita25953	0.0050	0.0943	0.0530222693531283	(ila,ita)	AT1G80660.1	ila212289	921167	
ila27622	ita11708	0.0202	0.0713	0.283309957924264	(ita,ila)	none	ita11708	44907	
ila230008	ita19494	0.0062	0.0913	0.067907995618839	(ita,ila)	AT3G58690.1	ita19494	691905	
ila10691	ita19260	0.0332	0.1745	0.19025787965616	(ita,ila)	AT3G12760.1	ita19260	709110	
ila23965	ita7959	0.0287	0.0833	0.34453781512605	(ila,ita)	none	ila23965	750985	
ila231054	ita26666	0.0561	0.1513	0.370786516853933	(ita,ila)	none	ita26666	123859	
ila217342	ita6150	0.6090	76.7815	0.00793159810631467	(ita,ila)	none	ita6150	702159	
ila6327	ita15714	0.0203	0.1002	0.202594810379242	(ila,ita)	AT1G60160.1	ila6327	705783	
ila26092	ita36646	0.0163	0.1287	0.126651126651127	(ita,ila)	AT4G18240.1	ita36646	709319	
ila24039	ita24069	0.0237	0.1145	0.206986899563319	(ila,ita)	none	ila24039	701891	
ila21919	ita26758	0.0070	0.1309	0.053475935828877	(ita,ila)	AT3G44600.1	ita26758	553279	
ila33884	ita22734	0.0000	0.0388	0	(ita,ila)	AT3G58500.1	ita22734	704641	
ila223208	ita15418	0.6673	65.3737	0.0102074687527247	(ita,ila)	none	ita15418	13541	
ila14549	ita10640	0.0434	0.1675	0.25910447761194	(ita,ila)	none	ita10640	707760	
ila231198	ita13920	0.0507	0.1281	0.395784543325527	(ita,ila)	none	ita13920	103050	
ila849	ita8961	0.0055	0.1676	0.0328162291169451	(ila,ita)	AT2G44740.1	ila8497	552761	
ila229804	ita38037	0.0675	0.3717	0.181598062953995	(ila,ita)	none	ila229804	700108	
ila22111	ita38216	0.0022	0.0785	0.0280254777070064	(ila,ita)	AT3G04770.2	ila22111	704479	
ila231552	ita6982	0.0416	0.1456	0.285714285714286	(ila,ita)	none	ila231552	704720	
ila33420	ita27850	0.0445	0.2399	0.185493955814923	(ita,ila)	none	ita27850	699729	
ila223625	ita15040	0.0327	0.1073	0.30475302889096	(ita,ila)	AT2G44140.2	ita15040	568274	
ila223594	ita24080	0.0120	0.1054	0.113851992409867	(ita,ila)	AT1G25260.1	ita24080	365569	
ila36502	ita23814	0.0524	0.1280	0.409375	(ila,ita)	none	ila36502	560274	
ila231096	ita27979	0.0292	0.1208	0.241721854304636	(ita,ila)	AT2G35030.1	ita27979	233362	
ila35465	ita7325	0.0093	0.1167	0.0796915167095116	(ita,ila)	AT2G18760.1	ita7325	794278	
ila8570	ita29656	0.1835	0.3112	0.589652956298201	(ita,ila)	AT4G01100.1	ita29656	752343	
ila233020	ita31623	0.0072	0.1713	0.042031523642732	(ita,ila)	AT3G21720.1	ita31623	693384	
ila36341	ita10867	0.0158	0.1446	0.10926694329184	(ila,ita)	AT4G08920.1	ila36341	219680	
ila231731	ita5961	0.0534	0.1062	0.502824858757062	(ita,ila)	none	ita5961	548155	
ila32364	ita38085	0.0165	0.1154	0.142980935875217	(ita,ila)	AT1G01720.1	ita38085	561257	
ila232226	ita10175	0.0276	0.0992	0.278225806451613	(ita,ila)	none	ita10175	178903	
ila1300	ita19089	0.0257	0.0883	0.291053227633069	(ita,ila)	AT2G37050.3	ita19089	128190	
ila230061	ita23692	0.0214	0.1208	0.177152317880795	(ila,ita)	none	ila230061	701216	
ila12024	ita14561	0.0661	0.2614	0.252869166029074	(ita,ila)	AT1G49270.1	ita14561	699739	
ila32404	ita35047	0.0379	0.2350	0.161276595744681	(ila,ita)	AT1G49970.1	ila32404	708374	
ila31884	ita21380	0.0332	0.1206	0.275290215588723	(ita,ila)	none	ita21380	925169	
ila35179	ita27902	0.0072	0.0774	0.0930232558139535	(ila,ita)	none	ila35179	692737	
ila231979	ita26331	0.0017	0.1582	0.0107458912768647	(ila,ita)	AT3G51990.1	ila231979	688748	
ila9172	ita17459	0.0062	0.0871	0.0711825487944891	(ita,ila)	AT4G24620.1	ita17459	138896	
ila33061	ita30326	0.0075	0.1422	0.0527426160337553	(ita,ila)	AT5G61850.1	ita30326	569650	
ila232824	ita7945	0.0439	0.2655	0.165348399246704	(ita,ila)	none	ita7945	709999	
ila230754	ita11462	0.0288	0.1114	0.258527827648115	(ita,ila)	none	ita11462	701103	
ila35952	ita27506	0.0185	0.1024	0.1806640625	(ita,ila)	AT3G54090.1	ita27506	697462	
ila219444	ita6476	0.0102	0.1113	0.091644204851752	(ila,ita)	none	ila219444	553049	
ila210566	ita15531	0.0326	0.0992	0.328629032258065	(ita,ila)	AT5G37810.1	ita15531	696835	
ila220225	ita24635	0.0001	0.0878	0.00113895216400911	(ita,ila)	AT1G52600.1	ita24635	831769	
ila33318	ita36319	0.0243	0.1434	0.169456066945607	(ila,ita)	AT5G50375.1	ila33318	689679	
ila7582	ita10193	0.0301	0.0927	0.32470334412082	(ita,ila)	AT1G60420.1	ita10193	699634	
ila22403	ita3069	0.0143	0.1749	0.0817610062893082	(ila,ita)	AT2G19860.1	ila224031	702505	
ila25673	ita18373	0.0059	0.0645	0.0914728682170543	(ita,ila)	none	ita18373	692385	
ila231997	ita25345	0.0645	0.0940	0.686170212765957	(ita,ila)	none	ita25345	576085	
ila213424	ita11498	0.0042	0.1354	0.0310192023633678	(ita,ila)	none	ita11498	146352	
ila228140	ita3222	0.2833	0.8752	0.323697440585009	(ila,ita)	none	ila228140	698402	
ila4276	ita28967	0.0237	0.1222	0.193944353518822	(ita,ila)	AT2G30470.1	ita28967	686492	
ila213537	ita4610	0.0284	0.1171	0.242527754056362	(ita,ila)	none	ita4610	703997	
ila208378	ita9692	0.0088	0.0799	0.110137672090113	(ila,ita)	AT5G63920.1	ila208378	947248	
ila36871	ita14239	0.0635	0.1040	0.610576923076923	(ita,ila)	none	ita14239	703712	
ila211768	ita3422	0.0203	0.1805	0.112465373961219	(ita,ila)	none	ita34221	267303	
ila34791	ita373	0.0294	0.1052	0.279467680608365	(ila,ita)	AT1G25520.1	ila34791	699212	
ila233183	ita26513	0.0825	1.0898	0.0757019636630574	(ita,ila)	none	ita26513	692919	
ila218598	ita7613	0.0634	0.1020	0.62156862745098	(ita,ila)	none	ita7613	586214	
ila35658	ita12	0.0215	0.1192	0.180369127516778	(ila,ita)	none	ila35658	708887	
ila36771	ita34959	0.0228	0.1314	0.17351598173516	(ila,ita)	none	ila36771	857885	
ila223128	ita27180	0.9330	14.7867	0.0630972427925095	(ila,ita)	none	ila223128	574358	
ila10285	ita15994	0.0492	0.1389	0.354211663066955	(ila,ita)	none	ila10285	246365	
ila232612	ita37421	0.0023	0.0940	0.024468085106383	(ita,ila)	AT1G46264.1	ita37421	708577	
ila20769	ita29216	0.0330	0.1026	0.321637426900585	(ita,ila)	none	ita29216	569620	
ila26524	ita35449	0.0325	0.0783	0.41507024265645	(ila,ita)	none	ila26524	61780	
ila36918	ita29305	0.0106	0.1748	0.0606407322654462	(ita,ila)	AT3G48340.1	ita29305	691355	
ila227329	ita34154	0.0608	0.1940	0.31340206185567	(ita,ila)	none	ita34154	131676	
ila33238	ita12808	0.0363	0.2735	0.1327239488117	(ita,ila)	AT1G31860.1	ita12808	247920	
ila33576	ita12041	0.0211	0.0994	0.212273641851107	(ita,ila)	none	ita12041	579125	
ila32505	ita38008	0.0060	0.0976	0.0614754098360656	(ita,ila)	AT5G16260.1	ita38008	709426	
ila28703	ita22430	0.0076	0.1216	0.0625	(ita,ila)	AT3G25400.1	ita22430	716238	
ila211959	ita11981	0.0045	0.1514	0.0297225891677675	(ita,ila)	none	ita11981	703151	
ila31921	ita23769	0.0117	0.1187	0.0985678180286436	(ita,ila)	none	ita23769	558288	
ila35419	ita25960	0.0414	0.1672	0.247607655502392	(ita,ila)	none	ita25960	542907	
ila225228	ita24491	0.0138	0.2038	0.0677134445534838	(ila,ita)	none	ila225228	622147	
ila22953	ita25203	0.3597	51.0942	0.00703993799687636	(ita,ila)	none	ita25203	483414	
ila219070	ita11781	0.0105	0.0725	0.144827586206897	(ita,ila)	none	ita11781	558288	
ila26007	ita19291	0.0604	0.1349	0.447739065974796	(ila,ita)	none	ila26007	20108	
ila15944	ita10771	0.0113	0.1057	0.106906338694418	(ila,ita)	AT1G27840.3	ila15944	549401	
ila36635	ita17481	0.0554	0.1395	0.397132616487455	(ila,ita)	none	ila36635	577302	
ila217274	ita14536	0.0217	0.1233	0.175993511759935	(ita,ila)	none	ita14536	558288	
ila228470	ita12396	0.0184	0.1016	0.181102362204724	(ita,ila)	AT5G41800.1	ita12396	689081	
ila222898	ita17900	0.0217	0.0924	0.234848484848485	(ita,ila)	none	ita17900	575855	
ila25962	ita15784	0.0404	0.1677	0.240906380441264	(ita,ila)	none	ita15784	558288	
ila13291	ita22474	0.0089	0.0694	0.128242074927954	(ita,ila)	AT5G58330.1	ita22474	699044	
ila28576	ita35699	0.0560	0.1033	0.542110358180058	(ila,ita)	none	ila28576	369170	
ila7891	ita1930	0.0182	0.2086	0.087248322147651	(ita,ila)	AT1G76130.1	ita19304	575343	
ila32523	ita8787	0.0079	0.1413	0.0559094125973107	(ila,ita)	AT5G45290.1	ila32523	241602	
ila1630	ita29772	0.6585	8.7263	0.0754615358170129	(ila,ita)	AT1G27595.1	ila16307	532574	
ila224679	ita38210	0.0377	0.0916	0.411572052401747	(ila,ita)	none	ila224679	558288	
ila35564	ita29415	0.0208	0.0961	0.216441207075963	(ita,ila)	none	ita29415	558239	
ila813	ita18740	0.0167	0.1181	0.141405588484335	(ita,ila)	AT5G51820.1	ita18740	141030	
ila21463	ita28114	0.0160	0.0923	0.173347778981582	(ita,ila)	AT3G44200.1	ita28114	704467	
ila25883	ita16492	0.0375	0.1375	0.272727272727273	(ita,ila)	AT1G22660.2	ita16492	554161	
ila37245	ita9557	0.6982	11.8141	0.0590988733801136	(ila,ita)	AT1G55350.4	ila37245	710166	
ila17742	ita37528	0.0220	0.1132	0.19434628975265	(ita,ila)	AT5G03730.1	ita37528	122028	
ila8412	ita23150	0.0593	0.1616	0.366955445544554	(ila,ita)	none	ila8412	688386	
ila18569	ita17256	1.0665	73.5228	0.0145057043529354	(ita,ila)	AT4G34150.1	ita17256	97475	
ila21914	ita26752	0.0115	0.1604	0.0716957605985037	(ila,ita)	AT2G48010.1	ila21914	697886	
ila224796	ita37776	0.0153	0.1598	0.0957446808510638	(ila,ita)	AT1G15690.1	ila224796	864519	
ila211633	ita16520	0.0126	0.0732	0.172131147540984	(ila,ita)	none	ila211633	38565	
ila229415	ita22363	0.4902	11.8676	0.0413057399979777	(ita,ila)	none	ita22363	699974	
ila4571	ita20922	0.0076	0.0788	0.0964467005076142	(ita,ila)	none	ita20922	547086	
ila9641	ita22167	0.0087	0.0977	0.0890481064483112	(ila,ita)	AT5G16570.1	ila9641	86148	
ila26136	ita38782	0.0525	0.1704	0.308098591549296	(ita,ila)	AT2G20890.1	ita38782	693096	
ila36971	ita36881	0.0070	0.1267	0.0552486187845304	(ila,ita)	AT5G13070.1	ila36971	691181	
ila28717	ita32290	0.0285	0.1227	0.232273838630807	(ita,ila)	none	ita32290	691939	
ila102	ita13840	0.0386	0.1958	0.197139938712972	(ila,ita)	none	ila10265	561732	
ila232157	ita6675	0.0183	0.0967	0.189245087900724	(ita,ila)	AT4G07390.1	ita6675	689598	
ila209961	ita23934	0.0132	0.2340	0.0564102564102564	(ila,ita)	none	ila209961	704591	
ila14757	ita10456	0.0126	0.0721	0.174757281553398	(ita,ila)	AT1G47830.1	ita10456	689734	
ila37237	ita30696	0.0465	0.1242	0.3743961352657	(ila,ita)	none	ila37237	857537	
ila21193	ita31355	0.0437	0.1083	0.403508771929825	(ita,ila)	none	ita31355	699418	
ila20532	ita15571	1.1072	67.5734	0.0163851456342289	(ila,ita)	AT5G51880.1	ila20532	788233	
ila19966	ita6446	0.0349	0.1311	0.266209000762777	(ita,ila)	none	ita6446	698604	
ila31104	ita22994	0.0176	0.0861	0.204413472706156	(ita,ila)	AT3G09200.1	ita22994	133953	
ila9297	ita2128	0.2544	0.4514	0.563579973416039	(ita,ila)	none	ita21286	709552	
ila37011	ita16501	0.0025	0.1800	0.0138888888888889	(ita,ila)	none	ita16501	573280	
ila13412	ita29078	0.1373	0.2431	0.564788153023447	(ita,ila)	AT1G34760.1	ita29078	557363	
ila229674	ita20902	0.0278	0.0813	0.341943419434194	(ita,ila)	AT3G54850.1	ita20902	702446	
ila4732	ita21421	0.0424	0.1245	0.340562248995984	(ila,ita)	AT5G36890.2	ila4732	18770	
ila28063	ita8213	0.0089	0.0969	0.0918472652218782	(ila,ita)	AT1G64550.1	ila28063	701469	
ila19406	ita12332	0.0074	0.0980	0.0755102040816327	(ita,ila)	AT5G46110.1	ita12332	705933	
ila228451	ita27452	0.0077	0.1074	0.0716945996275605	(ita,ila)	none	ita27452	126450	
ila3515	ita2067	0.0905	0.2319	0.390254420008624	(ila,ita)	none	ila35158	789349	
ila2382	ita23947	0.0149	0.0778	0.191516709511568	(ila,ita)	AT4G22140.2	ila23829	704111	
ila35261	ita18053	0.0109	0.1185	0.0919831223628692	(ita,ila)	AT3G48330.2	ita18053	707144	
ila3539	ita11197	0.0188	0.1403	0.13399857448325	(ita,ila)	none	ita11197	568285	
ila23724	ita27093	0.0301	0.1510	0.199337748344371	(ita,ila)	none	ita27093	564289	
ila216598	ita32104	0.0144	0.0750	0.192	(ila,ita)	none	ila216598	208001	
ila28268	ita32349	0.0429	0.1456	0.294642857142857	(ila,ita)	none	ila28268	562515	
ila33106	ita32014	0.0024	0.1086	0.0220994475138122	(ita,ila)	AT5G01590.1	ita32014	709674	
ila35981	ita11782	0.0370	0.0961	0.385015608740895	(ita,ila)	none	ita11782	693232	
ila35481	ita35244	0.9341	10.6450	0.0877501174260216	(ila,ita)	none	ila35481	4425	
ila27859	ita32863	0.0053	0.1049	0.0505243088655863	(ila,ita)	AT3G02200.2	ila27859	701377	
ila7858	ita13740	0.0135	0.1038	0.130057803468208	(ita,ila)	AT1G79500.4	ita13740	776023	
ila25291	ita1458	0.0259	0.1502	0.172436750998668	(ila,ita)	none	ila25291	548216	
ila27264	ita7569	0.0291	0.1146	0.253926701570681	(ila,ita)	none	ila27264	691106	
ila227955	ita15380	0.0561	0.1267	0.442778216258879	(ila,ita)	AT2G03590.1	ila227955	30304	
ila2037	ita19548	0.0393	0.0897	0.438127090301003	(ila,ita)	AT2G13440.1	ila2037	749652	
ila227996	ita23423	0.0482	0.2002	0.240759240759241	(ita,ila)	none	ita23423	553049	
ila233182	ita38638	0.0225	0.1028	0.218871595330739	(ila,ita)	AT2G39340.1	ila233182	673425	
ila232952	ita32127	0.0489	0.1050	0.465714285714286	(ita,ila)	AT1G02120.1	ita32127	697322	
ila27551	ita28396	0.0023	0.1396	0.0164756446991404	(ita,ila)	AT5G65270.1	ita28396	144177	
ila214484	ita8480	0.0220	0.0587	0.374787052810903	(ita,ila)	AT5G05130.1	ita8480	701958	
ila228495	ita9475	0.0826	0.1834	0.450381679389313	(ila,ita)	none	ila228495	222630	
ila14456	ita14665	0.0139	0.1140	0.121929824561403	(ita,ila)	AT3G63510.1	ita14665	502937	
ila23867	ita10736	0.0176	0.1223	0.143908421913328	(ila,ita)	AT2G24520.1	ila23867	676167	
ila228712	ita4902	0.0397	0.2399	0.16548561900792	(ila,ita)	none	ila228712	462430	
ila13941	ita7298	16.0825	6.0647	2.65182119478292	(ita,ila)	AT2G13370.1	ita7298	340408	
ila220321	ita190	0.0759	0.2279	0.333040807371654	(ita,ila)	none	ita19045	701084	
ila36432	ita25218	0.0222	0.0964	0.230290456431535	(ila,ita)	AT5G14100.1	ila36432	552554	
ila34021	ita32827	0.0128	0.0701	0.182596291012839	(ita,ila)	AT5G42420.1	ita32827	559607	
ila222645	ita22732	0.0345	0.1596	0.216165413533835	(ita,ila)	AT4G31140.1	ita22732	704644	
ila3304	ita15981	0.0279	0.0530	0.526415094339623	(ita,ila)	none	ita15981	705605	
ila18417	ita15461	0.0212	0.1459	0.145305003427005	(ita,ila)	AT2G23140.1	ita15461	609411	
ila36529	ita16670	0.0249	0.1414	0.176096181046676	(ila,ita)	AT3G48820.2	ila36529	703062	
ila20223	ita36618	0.3096	0.5181	0.597568037058483	(ita,ila)	none	ita36618	703182	
ila232488	ita5068	0.0613	0.1066	0.575046904315197	(ila,ita)	AT3G49050.1	ila232488	699511	
ila25536	ita8658	0.0153	0.1470	0.104081632653061	(ila,ita)	none	ila25536	576143	
ila25424	ita39181	0.0330	0.1698	0.19434628975265	(ila,ita)	none	ila25424	578461	
ila27150	ita8999	0.0287	0.1480	0.193918918918919	(ila,ita)	AT5G59400.2	ila27150	776387	
ila17255	ita15705	0.0250	0.0775	0.32258064516129	(ita,ila)	none	ita15705	695359	
ila36575	ita7430	0.0230	0.0457	0.50328227571116	(ila,ita)	none	ila36575	774446	
ila10354	ita32446	0.0114	0.0724	0.157458563535912	(ita,ila)	none	ita32446	548526	
ila10810	ita35824	0.2719	0.4069	0.668223150651266	(ita,ila)	AT3G03190.1	ita35824	696016	
ila17922	ita16091	0.0093	0.1109	0.0838593327321912	(ita,ila)	AT3G19490.1	ita16091	567145	
ila36734	ita3126	0.0213	0.1121	0.190008920606601	(ila,ita)	AT5G42240.1	ila36734	704977	
ila3133	ita18103	0.0394	0.2048	0.1923828125	(ita,ila)	none	ita18103	697666	
ila8712	ita35280	0.0932	0.2197	0.424214838416022	(ila,ita)	AT1G12350.1	ila8712	571395	
ila37211	ita6151	0.0169	0.1856	0.0910560344827586	(ita,ila)	AT5G08620.1	ita6151	701094	
ila231929	ita33537	0.0067	0.1095	0.0611872146118721	(ita,ila)	AT5G55230.1	ita33537	695369	
ila32724	ita37671	0.0155	0.1181	0.131244707874682	(ita,ila)	none	ita37671	547360	
ila30333	ita27131	0.0133	0.1561	0.0852017937219731	(ila,ita)	AT3G25980.1	ila30333	691942	
ila12771	ita21974	0.0287	0.1752	0.163812785388128	(ila,ita)	none	ila12771	877456	
ila27192	ita29938	0.0141	0.1116	0.126344086021505	(ila,ita)	AT3G07160.1	ila27192	705752	
ila17498	ita23736	0.1092	0.6857	0.159253317777454	(ila,ita)	none	ila17498	584331	
ila36236	ita27027	0.0170	0.1452	0.117079889807163	(ita,ila)	AT2G32000.1	ita27027	559788	
ila22221	ita27004	0.0438	0.1323	0.331065759637188	(ila,ita)	none	ila22221	585768	
ila30734	ita29297	0.0027	0.1508	0.0179045092838196	(ita,ila)	AT1G29150.1	ita29297	709333	
ila12381	ita34373	0.0052	0.0562	0.0925266903914591	(ita,ila)	AT4G39220.1	ita34373	570105	
ila3329	ita21817	0.0676	0.3178	0.212712397734424	(ila,ita)	none	ila33299	696681	
ila24576	ita9223	0.0235	0.2160	0.108796296296296	(ita,ila)	AT4G29590.1	ita9223	700983	
ila2193	ita34647	0.0515	0.1191	0.432409739714526	(ita,ila)	AT4G29010.1	ita34647	400847	
ila30326	ita14583	0.0166	0.1088	0.152573529411765	(ita,ila)	AT2G19520.1	ita14583	437094	
ila36767	ita35515	0.0195	0.1057	0.184484389782403	(ita,ila)	none	ita35515	249189	
ila4237	ita8324	0.0611	0.1505	0.405980066445183	(ila,ita)	AT2G16660.1	ila4237	696585	
ila231093	ita25033	0.0490	0.0818	0.599022004889976	(ita,ila)	none	ita25033	553049	
ila112	ita11269	0.0393	0.2057	0.191054934370442	(ila,ita)	none	ila11262	570161	
ila19195	ita3084	0.0471	0.2118	0.222379603399433	(ita,ila)	none	ita30846	705727	
ila21158	ita7489	0.2916	5.4984	0.0530336097773898	(ila,ita)	AT3G54220.1	ila21158	699921	
ila209035	ita38211	0.0000	0.0472	0	(ita,ila)	AT3G05480.1	ita38211	707734	
ila34985	ita17797	0.0357	0.0609	0.586206896551724	(ila,ita)	AT2G46890.1	ila34985	569066	
ila228771	ita14945	0.3811	8.1459	0.0467842718422765	(ila,ita)	none	ila228771	694685	
ila9916	ita9977	0.0124	0.1304	0.0950920245398773	(ita,ila)	none	ita9977	221158	
ila231191	ita9849	0.0115	0.1260	0.0912698412698413	(ita,ila)	none	ita9849	709145	
ila34461	ita2594	0.0203	0.0710	0.285915492957746	(ita,ila)	AT5G15700.1	ita25941	879143	
ila317	ita25236	0.0062	0.1984	0.03125	(ila,ita)	AT4G14240.1	ila31701	708462	
ila14715	ita10313	0.0387	0.1380	0.280434782608696	(ila,ita)	none	ila14715	340580	
ila34467	ita12716	0.0015	0.1042	0.0143953934740883	(ila,ita)	AT3G12250.4	ila34467	699003	
ila12483	ita3275	0.1764	0.3708	0.475728155339806	(ita,ila)	AT2G45580.1	ita32757	558429	
ila231969	ita21355	0.0001	0.1180	0.000847457627118644	(ita,ila)	AT2G16250.1	ita21355	700982	
ila210056	ita25036	0.0483	0.0805	0.6	(ila,ita)	none	ila210056	308531	
ila21206	ita2639	0.0205	0.1160	0.176724137931034	(ila,ita)	AT1G09930.1	ila21206	703169	
ila24251	ita26413	0.0416	0.1059	0.392823418319169	(ila,ita)	none	ila24251	552463	
ila10572	ita25849	0.0583	0.2365	0.246511627906977	(ila,ita)	none	ila10572	8419	
ila20944	ita26612	0.0265	0.0882	0.300453514739229	(ita,ila)	none	ita26612	356579	
ila6239	ita24660	0.0886	0.2544	0.348270440251572	(ita,ila)	AT2G45500.1	ita24660	702034	
ila786	ita27118	0.0213	0.1069	0.199251637043966	(ila,ita)	none	ila7867	758279	
ila33706	ita13598	0.0263	0.1749	0.150371640937679	(ita,ila)	AT1G22800.1	ita13598	189308	
ila12185	ita20789	0.0042	0.0998	0.0420841683366733	(ila,ita)	AT3G27090.1	ila12185	572007	
ila25688	ita10754	0.0700	0.1054	0.664136622390892	(ita,ila)	none	ita10754	553049	
ila216034	ita32705	0.0478	0.1514	0.315719947159841	(ita,ila)	AT1G22240.1	ita32705	569232	
ila23885	ita12288	0.0145	0.1351	0.107327905255366	(ila,ita)	none	ila23885	703368	
ila36025	ita24351	0.0195	0.1103	0.176790571169538	(ila,ita)	AT2G28310.2	ila36025	710037	
ila218910	ita31436	0.0170	0.0595	0.285714285714286	(ita,ila)	AT4G33990.1	ita31436	553049	
ila30808	ita9786	0.0347	0.1899	0.182727751448131	(ila,ita)	AT5G12190.1	ila30808	651737	
ila14603	ita19238	0.1257	1.7395	0.0722621442943375	(ila,ita)	none	ila14603	549588	
ila36674	ita19096	0.0420	0.1512	0.277777777777778	(ita,ila)	AT5G51700.1	ita19096	562502	
ila4349	ita12340	0.0087	0.1520	0.0572368421052632	(ila,ita)	AT1G16610.2	ila4349	552961	
ila231981	ita26033	0.0850	0.1821	0.466776496430533	(ila,ita)	none	ila231981	555983	
ila15954	ita2799	0.0324	0.1825	0.177534246575342	(ita,ila)	AT2G29050.1	ita27997	932149	
ila17425	ita32251	0.0283	0.1514	0.186922060766182	(ila,ita)	none	ila17425	848872	
ila23344	ita38710	0.0106	0.1095	0.0968036529680365	(ita,ila)	none	ita38710	701770	
ila18425	ita1208	0.0044	0.0774	0.0568475452196383	(ila,ita)	AT5G08690.1	ila18425	755592	
ila14787	ita33102	0.0283	0.2618	0.108097784568373	(ita,ila)	AT1G48830.2	ita33102	577256	
ila35852	ita7560	0.0314	0.1465	0.214334470989761	(ila,ita)	AT5G05700.1	ila35852	384146	
ila225848	ita38515	0.0551	0.1363	0.404255319148936	(ila,ita)	none	ila225848	181067	
ila14908	ita23439	0.0081	0.1641	0.0493601462522852	(ita,ila)	none	ita23439	706756	
ila29612	ita8379	0.0540	0.1183	0.456466610312764	(ila,ita)	AT2G31800.1	ila29612	694765	
ila231485	ita5816	0.0606	0.1233	0.491484184914842	(ila,ita)	AT4G18465.1	ila231485	180872	
ila27581	ita15948	0.3101	43.2648	0.00716748950648102	(ita,ila)	none	ita15948	403404	
ila30527	ita34471	0.0038	0.1474	0.0257801899592944	(ita,ila)	AT5G52970.1	ita34471	698175	
ila9584	ita401	0.0070	0.1484	0.0471698113207547	(ita,ila)	AT1G69390.1	ita4016	553587	
ila230397	ita22968	0.2587	0.4986	0.518852787805856	(ita,ila)	none	ita22968	703169	
ila35605	ita8646	0.0248	0.0734	0.337874659400545	(ita,ila)	AT3G62700.1	ita8646	708783	
ila226477	ita12795	0.1160	0.6790	0.170839469808542	(ita,ila)	none	ita12795	195146	
ila221865	ita39413	0.0255	0.0892	0.285874439461883	(ila,ita)	none	ila221865	708185	
ila36452	ita37814	0.0246	0.1357	0.181282240235814	(ita,ila)	none	ita37814	790411	
ila35813	ita10773	0.0326	0.1241	0.262691377921031	(ita,ila)	AT3G26115.2	ita10773	567290	
ila225026	ita31555	0.0082	0.1069	0.0767072029934518	(ita,ila)	AT3G04920.1	ita31555	564854	
ila22306	ita19752	0.0170	0.0769	0.221066319895969	(ila,ita)	AT1G21710.1	ila223064	772192	
ila11576	ita23794	0.0809	0.2209	0.3662290629244	(ita,ila)	none	ita23794	456335	
ila19930	ita34754	0.0119	0.1142	0.104203152364273	(ita,ila)	AT3G10690.1	ita34754	701769	
ila12026	ita7090	0.3808	0.8497	0.44815817347299	(ila,ita)	AT2G22250.3	ila12026	858366	
ila3348	ita34629	0.0150	0.0200	0.75	(ita,ila)	ATCG01050.1	ita34629	402103	
ila12749	ita38879	0.8454	10.5482	0.080146375684951	(ita,ila)	none	ita38879	708429	
ila33409	ita34642	0.0029	0.0463	0.0626349892008639	(ila,ita)	AT5G13120.1	ila33409	255835	
ila25167	ita4556	0.2820	0.5311	0.530973451327434	(ita,ila)	none	ita4556	701662	
